小区名称,销售状态,位置,房屋类型,更新时间,售价/均价,参考总价
碧桂园,待售,[张家港-城北]苏虞张路转杨塘路（大润发旁）,三居(6),2017.04.20,售价待定,总价待定
湖滨国际景苑,在售,[张家港-城南]南苑西路与赵庄路交汇处（...,,2017.04.05,"均价13,000元/m²",总价待定
朗诗国泰城,在售,[张家港-城南]人民中路42号（国贸酒店一楼）,三居(1)，四居(1),2017.03.10,"均价16,000元/m²",总价待定
汇金中心,在售,[张家港-城西]张家港杨舍镇人民东路文化...,,2017.03.31,"均价10,000元/m²",总价待定
恒大城市之光,待售,[张家港-城西]港城大道600号,二居(3)，三居(3),2017.05.23,"均价9,500元/m²",69-124万元
湖滨世家,在售,[张家港-城东]合兴镇华山路北侧，华昌路西侧,三居(2)，四居(2)，五居及以上(1),2017.04.05,"均价7,500元/m²",80-107万元
恒大雅苑·瑚郡,在售,张家港 - 东二环路与振兴路交汇处往东300米（原青草巷）,三居(4),2017.04.06,"均价9,000元/m²",113万元
湖滨国际景苑(别墅),售罄,[张家港-城南]南苑西路与赵庄路交汇处（...,,2017.04.05,总价待定,
华丽家族太湖汇景,在售,[吴中]华丽路一号（香山中学向南50米）,二居(2)，三居(4)，四居(1),2018.03.15,"均价13,000元/m²",124-182万元
张家港吾悦广场,售罄,[张家港-城南]欢乐世界对面,二居(3)，三居(1),,"均价8,000元/m²",总价待定
万科伴湖花园,在售,[吴中]苏州市吴中区东山镇湖滨路9号,三居(2),2018.03.13,"均价12,000元/m²",102-131万元
太湖相王府,在售,[吴中]苏州市太湖度假区伍相路8号,三居(4)，四居(1),2018.03.07,"均价14,000元/m²",120-169万元
中旅水泊堂前,在售,[吴中]太湖度假区香山南路与承祖路交汇处,一居(2)，二居(2)，三居(4),2018.03.12,"均价14,200元/m²",71-163万元
天地源拾锦香都,在售,[吴中-木渎]苏州木渎大治路和金长路交汇处,二居(1)，三居(7)，四居(1),2018.03.13,"均价17,300元/m²",149-278万元
保利悦都,在售,[吴中]东安路与游湖路交界处,三居(3)，四居(2),2018.03.15,"最低26,000元/m²起",299-372万元
华润金悦湾,在售,吴中 - 独墅湖西怡湖路南（独墅湖实验小学东约700米）,三居(1)，四居(1),2018.03.07,"均价23,000元/m²",253-311万元
上海长岛,待售,[太仓]启东新村沙北侧,一居(1)，二居(1),2017.05.02,售价待定,75-136万元
新城郡未来,在售,吴中 - 吴中太湖新城吴郡路与东太湖路交叉口（永旺梦乐城向南500米）,三居(8)，四居(1),2018.03.16,"均价18,000元/m²",184-256万元
泰禾金尊府,在售,[吴中]东方大道与郭新东路交汇处,三居(4)，四居(1),2018.03.16,"均价27,000元/m²",311-392万元
南山维拉,在售,吴中 - 金鸡湖大道与长虹北路交汇处（和成卫浴东边）,一居(1)，二居(8)，三居(3),2018.03.07,"均价13,000元/m²",129-231万元
苏州绿城春江明月,在售,[吴中-木渎]长江南路和七子路交汇处,三居(7)，四居(5),2018.03.07,"均价17,500元/m²",190-249万元
诚河新旅城,在售,吴中 - 塔园路55号（塔园路与向阳路交界往南）,二居(11)，三居(4)，四居(1),2018.03.07,"均价20,000元/m²",179-279万元
建发独墅湾,在售,吴中 - 吴中独墅湖生态公园南（东方大道与赏湖路交汇处）,三居(3),2018.03.15,"均价23,000元/m²",276万元
星光耀广场(商办),在售,姑苏 - 姑苏金筑街与虎池路交汇处（美佳超市附近）,开间(4),2018.03.15,"均价10,000元/m²",43-78万元
世茂石湖湾(别墅),在售,[吴中-石湖越溪]友新路99号(石湖公园东),三居(4)，四居(2)，五居及以上(1),2018.03.15,"600-1,200万元/套",
歌林小镇,在售,吴中 - 友新高架主路与天鹅荡路交汇处（永旺超市对面）,三居(3),2018.03.15,"均价23,000元/m²",246-255万元
南山柠府,在售,[新区-浒墅关]苏浒路与文运路交汇处,二居(2)，三居(3),2018.03.15,"最低16,000元/m²起",213-230万元
阳光城平江悦,在售,[姑苏]姑苏人民路和莲升路交汇处向西50米,开间(4),2018.03.13,"均价16,000元/m²",85-120万元
姑苏金茂府,在售,姑苏 - 金门路与桐泾北路交界处（苏州市政府对面）,二居(1)，三居(1)，四居(2),2018.03.10,"均价31,000元/m²",437-772万元
中航樾公馆,在售,新区 - 天佑路与科业路交汇处往西100米(科技城实验幼儿园南300米...,三居(2)，四居(2),2018.03.14,"均价18,000元/m²",175-184万元
仁恒公园世纪,在售,姑苏 - 劳动路与胥台路交汇处（轨交2号线劳动路站往西约500米）,三居(3)，四居(2),2018.03.01,"均价35,000元/m²",368-648万元
白塘壹号,在售,园区 - 白塘路1号（南施街、沈浒路交汇处）,二居(3)，三居(5)，四居(1),2018.03.13,"均价35,000元/m²",312-497万元
万科苏高新遇见山,待售,[新区]苏州高新区旺家府街与凤凰峰路交汇处,三居(2)，四居(2),2018.03.15,售价待定,"17,000元/m²"
星悦湾商务广场,在售,[新区]滨河路8号,一居(3),2018.03.12,"均价16,000元/m²",67-88万元
招商学府1872(别墅),在售,[新区]竹园路与塔园路交汇处,二居(1)，三居(1)，四居(1),2018.03.12,500-700万元/套,
招商学府1872,在售,[新区]竹园路与塔园路交汇处,三居(2)，四居(2),2018.03.12,"均价31,000元/m²",434万元
中锐星悦湾名苑,在售,[新区]滨河路8号,三居(2)，四居(1),2018.03.12,"均价25,000元/m²",243-386万元
弘阳上水,在售,新区 - 兴贤路与文昌路交汇处（百益德精品酒店斜对面）,三居(3)，四居(3),2018.03.15,"均价16,000元/m²",176-213万元
光华苑,在售,[姑苏]江宙路8号（苏站路与江宙路交叉口）,二居(2)，三居(1),2018.02.23,"均价21,000元/m²",151-200万元
绿都姑苏雅集,在售,[姑苏]姑苏区人民路与东二路交界处东南侧,,2018.03.12,"900-1,700万元/套",
亿博青春汇,在售,[姑苏-平江新城]姑苏苏州市平江区江坤路138号,一居(2)，二居(2),2018.03.14,"均价12,000元/m²",36-108万元
南门世家,在售,[姑苏]姑苏区南门路899号,三居(2)，四居(3)，五居及以上(1),2018.03.01,"均价30,500元/m²",451-872万元
世茂广场(商办),待售,[姑苏]宝带西路1155号,开间(3),2018.03.14,售价待定,总价待定
海胥澜庭,在售,[姑苏]桐泾路西、劳动路南,三居(2)，四居(2),2018.03.07,"均价35,000元/m²",368-578万元
当代苏洲府ΜΟΜΛ,在售,[姑苏]阊胥路与景德路交汇处,,2018.03.01,"700-3,500万元/套",
唐宁府,在售,[园区-湖东]苏州工业园区方洲路南、钟南街东,四居(3),2018.03.02,"均价40,800元/m²",675-750万元
路劲澜山澜,在售,园区 - 园区港田路511号（榭雨街与港田路的交汇处）,三居(3)，四居(2),2018.02.28,"均价30,000元/m²",405-525万元
荷澜庭(别墅),待售,新区 - 狮山街道邓尉路北、长江路西（绿宝广场对面）,四居(3),2018.03.15,总价待定,
晋府水巷别墅(别墅),在售,姑苏 - 北园路北和百家巷交界处（拙政园向北400米）,四居(3),2018.03.01,"1,310-1,600万元/套",
正荣悦玲珑,在售,[相城]望亭镇太阳路北、御亭大酒店西,三居(1)，四居(3),2018.03.12,"均价13,000元/m²",124-150万元
月亮湾3号,待售,[园区]八达街99号（星湖街和创苑路交汇处）,三居(1)，四居(2)，五居及以上(1),2018.02.28,售价待定,总价待定
苏州中心8号,在售,[园区-湖东]苏绣路与星阳街交汇处,开间(1),2018.03.14,"均价28,500元/m²",185-422万元
中新翡翠,在售,[园区-青剑湖]青澄路与科营路交界处,二居(4)，三居(1),2018.02.28,"均价23,000元/m²",179-202万元
中锐星奕湾花园,在售,园区 - 独墅湖南松涛街与蔺宜路（原车郭路）交汇处,三居(1)，四居(4),2018.02.27,"均价26,000元/m²",315-369万元
中吴红玺御园,在售,新区 - 永莲路与永安路交汇处（丹景廷对面）,二居(1)，四居(2),2018.03.15,"均价15,000元/m²",117-215万元
华发公园首府(别墅),待售,[姑苏]桐泾南路与胥江路交汇处,,2018.02.23,总价待定,
华发公园首府,待售,[姑苏]桐泾南路与胥江路交汇处,,2018.02.23,售价待定,总价待定
南环汇邻广场(商办),在售,姑苏 - 南环东路北、南园路西（南环新村附近）,开间(1),2018.03.01,"均价13,000元/m²",52万元
万科北宸之光,在售,[相城]相城区御窑路与安元路交汇,二居(1)，三居(5)，四居(4),2018.03.06,"均价17,500元/m²",170-222万元
佳兆业君汇上品,在售,相城 - 相城黄桥街道苏埭路东、兴业路南（活力岛西1000米）,二居(1)，三居(3)，四居(3),2018.03.12,"均价16,000元/m²",184-228万元
丰隆城市中心(商办),在售,园区 - 旺敦路与思安街交汇处（园区管委会附近）,开间(5),2018.03.14,"均价25,000元/m²",138-353万元
三千邑,在售,[吴江-松陵]苏州市江陵东路689号,三居(6)，四居(4),2018.03.14,"均价16,000元/m²",158-243万元
天房心著华庭,在售,[新区]塔园路与竹园路交汇处,三居(1)，四居(2),2018.03.15,"均价33,000元/m²",416-462万元
恒基旭辉城,在售,[新区]文昌路/大同路交界处,二居(4)，三居(3)，四居(1),2018.03.15,"均价18,000元/m²",224-273万元
金地名悦,在售,[新区]苏州高新区何山路350-1号,三居(3)，四居(2),2018.03.15,"均价20,000元/m²",188-282万元
